"Notes"	"Year"	"Year Code"	"Age"	"Age Code"	"Gender"	"Gender Code"	Projected Populations
	"2014"	"2014"	"< 1 year"	"0"	"Female"	"F"	1939928
	"2014"	"2014"	"< 1 year"	"0"	"Male"	"M"	2031919
	"2014"	"2014"	"1 year"	"1"	"Female"	"F"	1933019
	"2014"	"2014"	"1 year"	"1"	"Male"	"M"	2024845
	"2014"	"2014"	"2 years"	"2"	"Female"	"F"	1941924
	"2014"	"2014"	"2 years"	"2"	"Male"	"M"	2030157
	"2014"	"2014"	"3 years"	"3"	"Female"	"F"	1955816
	"2014"	"2014"	"3 years"	"3"	"Male"	"M"	2047456
	"2014"	"2014"	"4 years"	"4"	"Female"	"F"	1959463
	"2014"	"2014"	"4 years"	"4"	"Male"	"M"	2042466
	"2014"	"2014"	"5 years"	"5"	"Female"	"F"	1960765
	"2014"	"2014"	"5 years"	"5"	"Male"	"M"	2042212
	"2014"	"2014"	"6 years"	"6"	"Female"	"F"	2023097
	"2014"	"2014"	"6 years"	"6"	"Male"	"M"	2109358
	"2014"	"2014"	"7 years"	"7"	"Female"	"F"	2030676
	"2014"	"2014"	"7 years"	"7"	"Male"	"M"	2121977
	"2014"	"2014"	"8 years"	"8"	"Female"	"F"	2013207
	"2014"	"2014"	"8 years"	"8"	"Male"	"M"	2105421
	"2014"	"2014"	"9 years"	"9"	"Female"	"F"	2007948
	"2014"	"2014"	"9 years"	"9"	"Male"	"M"	2097828
	"2014"	"2014"	"10 years"	"10"	"Female"	"F"	2013208
	"2014"	"2014"	"10 years"	"10"	"Male"	"M"	2100616
	"2014"	"2014"	"11 years"	"11"	"Female"	"F"	1999357
	"2014"	"2014"	"11 years"	"11"	"Male"	"M"	2084117
	"2014"	"2014"	"12 years"	"12"	"Female"	"F"	1990699
	"2014"	"2014"	"12 years"	"12"	"Male"	"M"	2075355
	"2014"	"2014"	"13 years"	"13"	"Female"	"F"	2038164
	"2014"	"2014"	"13 years"	"13"	"Male"	"M"	2128156
	"2014"	"2014"	"14 years"	"14"	"Female"	"F"	2065487
	"2014"	"2014"	"14 years"	"14"	"Male"	"M"	2164172
	"2014"	"2014"	"15 years"	"15"	"Female"	"F"	2033092
	"2014"	"2014"	"15 years"	"15"	"Male"	"M"	2129032
	"2014"	"2014"	"16 years"	"16"	"Female"	"F"	2034973
	"2014"	"2014"	"16 years"	"16"	"Male"	"M"	2131656
	"2014"	"2014"	"17 years"	"17"	"Female"	"F"	2044101
	"2014"	"2014"	"17 years"	"17"	"Male"	"M"	2139062
	"2014"	"2014"	"18 years"	"18"	"Female"	"F"	2057632
	"2014"	"2014"	"18 years"	"18"	"Male"	"M"	2164804
	"2014"	"2014"	"19 years"	"19"	"Female"	"F"	2102178
	"2014"	"2014"	"19 years"	"19"	"Male"	"M"	2219859
	"2014"	"2014"	"20 years"	"20"	"Female"	"F"	2146302
	"2014"	"2014"	"20 years"	"20"	"Male"	"M"	2270151
	"2014"	"2014"	"21 years"	"21"	"Female"	"F"	2176351
	"2014"	"2014"	"21 years"	"21"	"Male"	"M"	2311112
	"2014"	"2014"	"22 years"	"22"	"Female"	"F"	2241234
	"2014"	"2014"	"22 years"	"22"	"Male"	"M"	2369229
	"2014"	"2014"	"23 years"	"23"	"Female"	"F"	2294579
