Driver,average_points_per_race,best_season_points_per_race,worst_season_points_per_race
Jim Clark CLA,6.75475,8.56075,3.37975
Alain Prost PRO,5.531807692307693,7.5645,4.81225
Juan Manuel Fangio FAN,5.24103125,6.988,2.50625
Lewis Hamilton HAM,5.0940312500000005,5.2355,4.8985
Fernando Alonso ALO,4.928144736842105,6.5655,2.05675
Mike Spence SPE,4.795958333333333,6.009,3.1695
Jackie Stewart STE,4.745583333333333,6.1575,3.4485
Max Verstappen VER,4.7161875,5.13925,3.93125
Michael Schumacher MSC,4.603302631578948,5.6035,2.90925
James Hunt HUN,4.497285714285714,8.134,2.24275
Nico Rosberg ROS,4.454295454545455,5.14375,3.22125
Damon Hill HIL,4.3365,6.644,1.98175
Jenson Button BUT,4.218333333333334,5.28825,2.50525
Mike Hawthorn HAW,4.129821428571429,4.97225,3.33025
Bruce McLaren MCL,4.106576923076923,4.34775,3.7135
Charles Leclerc LEC,4.0808,5.24225,2.79425
Ayrton Senna SEN,4.047818181818182,5.0125,2.497
Mika Hakkinen HAK,3.993977272727273,5.3435,1.68875
Lando Norris NOR,3.97675,4.837,3.0795
Valtteri Bottas BOT,3.9717,4.524,2.93875
