Driver,average_points_per_race,best_season_points_per_race,worst_season_points_per_race
Jim Clark CLA,8.174199999999999,8.56075,7.539
Fernando Alonso ALO,6.4435,6.5655,6.24825
Juan Manuel Fangio FAN,6.33525,6.988,5.29
Alain Prost PRO,6.33495,7.5645,5.628
Michael Schumacher MSC,5.4839,5.6035,5.37375
Jackie Stewart STE,5.42275,6.1575,4.709
Damon Hill HIL,5.38545,6.644,4.004
James Hunt HUN,5.3032,8.134,3.263
John Watson WAT,5.25075,5.56525,4.93725
Niki Lauda LAU,5.2293,6.05825,4.44525
Lewis Hamilton HAM,5.21,5.2355,5.182
Jenson Button BUT,5.20525,5.28825,5.091
Mike Spence SPE,5.12125,6.009,3.91725
Mika Hakkinen HAK,5.0434,5.3435,4.6845
Nico Rosberg ROS,5.04075,5.14375,4.91975
Max Verstappen VER,4.96405,5.13925,4.7085
Ayrton Senna SEN,4.7749500000000005,5.0125,4.405
Dan Gurney GUR,4.72,4.9635,4.40575
Pedro Rodriguez ROD,4.6983,5.1615,4.0175
Graham Hill HIL,4.56905,4.75125,4.3495
