Driver,career_year,Car,year_chr,predicted_points,predicted_points_upr,predicted_points_lwr,year
Carlos Sainz SAI,1,NA,NA,2.82075,8,0,2015
Carlos Sainz SAI,2,NA,NA,3.2495,8,0,2016
Carlos Sainz SAI,3,NA,NA,3.67375,9,0,2017
Carlos Sainz SAI,4,NA,NA,4.02575,10,0,2018
Carlos Sainz SAI,5,NA,NA,4.31025,10,0,2019
Carlos Sainz SAI,6,NA,NA,4.45775,11,0,2020
Carlos Sainz SAI,7,NA,NA,4.4945,11,0,2021
Carlos Sainz SAI,8,NA,NA,4.36375,11,0,2022
Charles Leclerc LEC,1,NA,NA,2.79425,7,0,2018
Charles Leclerc LEC,2,NA,NA,3.512,9,0,2019
Charles Leclerc LEC,3,NA,NA,4.1465,10,0,2020
Charles Leclerc LEC,4,NA,NA,4.709,11,0,2021
Charles Leclerc LEC,5,NA,NA,5.24225,13,0,2022
Daniel Ricciardo RIC,1,NA,NA,1.803,5,0,2011
Daniel Ricciardo RIC,2,NA,NA,2.368,6,0,2012
Daniel Ricciardo RIC,3,NA,NA,3.062,8,0,2013
Daniel Ricciardo RIC,4,NA,NA,3.656,9,0,2014
Daniel Ricciardo RIC,5,NA,NA,4.21675,10,0,2015
Daniel Ricciardo RIC,6,NA,NA,4.58825,11,0,2016
Daniel Ricciardo RIC,7,NA,NA,4.7775,12,0,2017
Daniel Ricciardo RIC,8,NA,NA,4.604,11,0,2018
Daniel Ricciardo RIC,9,NA,NA,4.21325,11,0,2019
Daniel Ricciardo RIC,10,NA,NA,3.6705,9,0,2020
Daniel Ricciardo RIC,11,NA,NA,3.01875,8,0,2021
Daniel Ricciardo RIC,12,NA,NA,2.415,6,0,2022
Lando Norris NOR,1,NA,NA,3.0795,8,0,2019
Lando Norris NOR,2,NA,NA,3.7485,9,0,2020
Lando Norris NOR,3,NA,NA,4.242,10,0,2021
Lando Norris NOR,4,NA,NA,4.837,12,0,2022
Max Verstappen VER,1,NA,NA,3.93125,10,0,2015
Max Verstappen VER,2,NA,NA,4.43375,11,0,2016
Max Verstappen VER,3,NA,NA,4.7085,11,0,2017
Max Verstappen VER,4,NA,NA,5.05375,12,0,2018
Max Verstappen VER,5,NA,NA,5.13925,12,1,2019
Max Verstappen VER,6,NA,NA,5.01625,12,1,2020
Max Verstappen VER,7,NA,NA,4.9025,12,0,2021
Max Verstappen VER,8,NA,NA,4.54425,11,0,2022
Sebastian Vettel VET,1,NA,NA,3.30975,8,0,2007
Sebastian Vettel VET,2,NA,NA,3.50825,9,0,2008
Sebastian Vettel VET,3,NA,NA,3.78625,9,0,2009
Sebastian Vettel VET,4,NA,NA,3.94125,10,0,2010
Sebastian Vettel VET,5,NA,NA,4.0765,10,0,2011
Sebastian Vettel VET,6,NA,NA,4.17175,10,0,2012
Sebastian Vettel VET,7,NA,NA,4.117,10,0,2013
Sebastian Vettel VET,8,NA,NA,4.1135,10,0,2014
Sebastian Vettel VET,9,NA,NA,3.962,10,0,2015
Sebastian Vettel VET,10,NA,NA,3.859,9,0,2016
Sebastian Vettel VET,11,NA,NA,3.65975,9,0,2017
Sebastian Vettel VET,12,NA,NA,3.37,8,0,2018
Sebastian Vettel VET,13,NA,NA,3.113,8,0,2019
Sebastian Vettel VET,14,NA,NA,2.83025,7,0,2020
Sebastian Vettel VET,15,NA,NA,2.5685,7,0,2021
Sebastian Vettel VET,16,NA,NA,2.28275,6,0,2022
